district,dt_code,st_nm,st_code,year,Value
Aizawl,261,Mizoram,15,2011_c,
Champhai,262,Mizoram,15,2011_c,
Kolasib,263,Mizoram,15,2011_c,
Lawngtlai,264,Mizoram,15,2011_c,
Lunglei,265,Mizoram,15,2011_c,
Mamit,266,Mizoram,15,2011_c,
Saiha,267,Mizoram,15,2011_c,
Serchhip,268,Mizoram,15,2011_c,
Khawzawl,996,Mizoram,15,2019,
Hnahthial,994,Mizoram,15,2019,
Thiruvallur,602,Tamil Nadu,33,2011_c,
Chennai,603,Tamil Nadu,33,2018,56
Krishnagiri,631,Tamil Nadu,33,2011_c,
Tiruvannamalai,606,Tamil Nadu,33,2011_c,
Dharmapuri,630,Tamil Nadu,33,2011_c,
Salem,608,Tamil Nadu,33,2011_c,
Erode,610,Tamil Nadu,33,2011_c,
Nilgiris,611,Tamil Nadu,33,2011_c,
Namakkal,609,Tamil Nadu,33,2011_c,
Perambalur,615,Tamil Nadu,33,2011_c,
Coimbatore,632,Tamil Nadu,33,2011_c,
Tiruchirappalli,614,Tamil Nadu,33,2011_c,
Ariyalur,616,Tamil Nadu,33,2011_c,
Tiruppur,633,Tamil Nadu,33,2011_c,
Thanjavur,620,Tamil Nadu,33,2011_c,
Karur,613,Tamil Nadu,33,2011_c,
Thiruvarur,619,Tamil Nadu,33,2011_c,
Dindigul,612,Tamil Nadu,33,2011_c,
Madurai,623,Tamil Nadu,33,2011_c,
Theni,624,Tamil Nadu,33,2011_c,
Virudhunagar,625,Tamil Nadu,33,2011_c,
Thoothukkudi,627,Tamil Nadu,33,2011_c,
Kanyakumari,629,Tamil Nadu,33,2011_c,
Viluppuram,607,Tamil Nadu,33,2019,
Cuddalore,617,Tamil Nadu,33,2011_c,
Pudukkottai,621,Tamil Nadu,33,2011_c,
Sivaganga,622,Tamil Nadu,33,2011_c,
Ramanathapuram,626,Tamil Nadu,33,2011_c,
Nagapattinam,618,Tamil Nadu,33,2011_c,
Kallakurichi,729,Tamil Nadu,33,2019,
Tenkasi,0,Tamil Nadu,33,2019,
Tirunelveli,628,Tamil Nadu,33,2019,
Vellore,605,Tamil Nadu,33,2019,
Ranipet,0,Tamil Nadu,33,2019,
Tirupathur,0,Tamil Nadu,33,2019,
Kancheepuram,604,Tamil Nadu,33,2019,
Chengalpattu,0,Tamil Nadu,33,2019,
Burhanpur,467,Madhya Pradesh,23,2011_c,
Gondia,507,Maharashtra,27,2011_c,
Bhandara,506,Maharashtra,27,2011_c,
Jalgaon,499,Maharashtra,27,2011_c,
Mahasamund,411,Chhattisgarh,22,2011_c,
Wardha,504,Maharashtra,27,2011_c,
Buldhana,500,Maharashtra,27,2011_c,
Valsad,491,Gujarat,24,2011_c,
Akola,501,Maharashtra,27,2011_c,
Bhadrak,378,Odisha,21,2011_c,
Dhenkanal,383,Odisha,21,2011_c,
Jajpur,382,Odisha,21,2011_c,
Subarnapur,392,Odisha,21,2011_c,
Nuapada,394,Odisha,21,2011_c,
Balangir,393,Odisha,21,2011_c,
Nashik,516,Maharashtra,27,2011_c,
Boudh,391,Odisha,21,2011_c,
Gadchiroli,508,Maharashtra,27,2011_c,
Washim,502,Maharashtra,27,2011_c,
Cuttack,381,Odisha,21,2011_c,
Chandrapur,509,Maharashtra,27,2011_c,
Yavatmal,510,Maharashtra,27,2011_c,
Kandhamal,390,Odisha,21,2011_c,
Jalna,514,Maharashtra,27,2011_c,
Nayagarh,385,Odisha,21,2011_c,
Uttar Bastar Kanker,413,Chhattisgarh,22,2011_c,
Khordha,386,Odisha,21,2011_c,
Kalahandi,395,Odisha,21,2011_c,
Jagatsinghpur,380,Odisha,21,2011_c,
Puri,387,Odisha,21,2011_c,
Ahmednagar,522,Maharashtra,27,2011_c,
Nabarangapur,397,Odisha,21,2011_c,
Hingoli,512,Maharashtra,27,2011_c,
Rayagada,396,Odisha,21,2011_c,
Nanded,511,Maharashtra,27,2011_c,
Narayanpur,415,Chhattisgarh,22,2011_c,
Parbhani,513,Maharashtra,27,2011_c,
Pune,521,Maharashtra,27,2011_c,
Beed,523,Maharashtra,27,2011_c,
Mumbai,519,Maharashtra,27,2011_c,
Koraput,398,Odisha,21,2011_c,
Srikakulam,542,Andhra Pradesh,37,2011_c,67
Vizianagaram,543,Andhra Pradesh,37,2011_c,89
Latur,524,Maharashtra,27,2011_c,
Osmanabad,525,Maharashtra,27,2011_c,
Malkangiri,399,Odisha,21,2011_c,
Solapur,526,Maharashtra,27,2011_c,
Visakhapatnam,544,Andhra Pradesh,37,2011_c,45
Bidar,558,Karnataka,29,2011_c,
Satara,527,Maharashtra,27,2011_c,
Ratnagiri,528,Maharashtra,27,2011_c,
Kalaburagi,579,Karnataka,29,2011_c,
Sangli,531,Maharashtra,27,2011_c,
Kolhapur,530,Maharashtra,27,2011_c,
Krishna,547,Andhra Pradesh,37,2011_c,88
Belagavi,555,Karnataka,29,2011_c,
Yadgir,580,Karnataka,29,2011_c,
Bagalkote,556,Karnataka,29,2011_c,
Sindhudurg,529,Maharashtra,27,2011_c,
Guntur,548,Andhra Pradesh,37,2011_c,78
East Godavari,545,Andhra Pradesh,37,2011_c,
Raichur,559,Karnataka,29,2011_c,
Prakasam,549,Andhra Pradesh,37,2011_c,
Kurnool,552,Andhra Pradesh,37,2011_c,
Koppal,560,Karnataka,29,2011_c,
Gadag,561,Karnataka,29,2011_c,
North Goa,585,Goa,30,2011_c,
Ballari,565,Karnataka,29,2011_c,
Dharwad,562,Karnataka,29,2011_c,
Uttara Kannada,563,Karnataka,29,2011_c,
South Goa,586,Goa,30,2011_c,
Haveri,564,Karnataka,29,2011_c,
Anantapur,553,Andhra Pradesh,37,2011_c,
S.P.S. Nellore,550,Andhra Pradesh,37,2011_c,
Chitradurga,566,Karnataka,29,2011_c,
Davanagere,567,Karnataka,29,2011_c,
Shivamogga,568,Karnataka,29,2011_c,
Udupi,569,Karnataka,29,2011_c,
Chikkamagaluru,570,Karnataka,29,2011_c,
Chikkaballapura,582,Karnataka,29,2011_c,
Hassan,574,Karnataka,29,2011_c,
Kolar,581,Karnataka,29,2011_c,
Bengaluru Rural,583,Karnataka,29,2011_c,
Dakshina Kannada,575,Karnataka,29,2011_c,
Bengaluru Urban,572,Karnataka,29,2011_c,
Kasaragod,588,Kerala,32,2011_c,
Kodagu,576,Karnataka,29,2011_c,
Chamarajanagara,578,Karnataka,29,2011_c,
Wayanad,590,Kerala,32,2011_c,
Kozhikode,591,Kerala,32,2011_c,
Malappuram,592,Kerala,32,2011_c,
Palakkad,593,Kerala,32,2011_c,
Thrissur,594,Kerala,32,2011_c,
Idukki,596,Kerala,32,2011_c,
Ernakulam,595,Kerala,32,2011_c,
Alappuzha,598,Kerala,32,2011_c,
Kottayam,597,Kerala,32,2011_c,
Pathanamthitta,599,Kerala,32,2011_c,
Kollam,600,Kerala,32,2011_c,
Thiruvananthapuram,601,Kerala,32,2011_c,
West Godavari,546,Andhra Pradesh,37,2011_c,
Dakshin Bastar Dantewada,416,Chhattisgarh,22,2011_c,
Bastar,414,Chhattisgarh,22,2011_c,
Kondagaon,722,Chhattisgarh,22,update2014,
Gariaband,720,Chhattisgarh,22,update2014,
Raipur,410,Chhattisgarh,22,2011_c,
Durg,409,Chhattisgarh,22,2011_c,
Thane,517,Maharashtra,27,2011_c,
Adilabad,532,Telangana,36,2016_c,
Hyderabad,536,Telangana,36,2016_c,
Jagtial,737,Telangana,36,2016_c,
Jangaon,752,Telangana,36,2016_c,
Mulugu,780,Telangana,36,2019,
Jogulamba Gadwal,744,Telangana,36,2016_c,
Kamareddy,736,Telangana,36,2016_c,
Karimnagar,534,Telangana,36,2016_c,
Khammam,541,Telangana,36,2016_c,
Komaram Bheem,733,Telangana,36,2016_c,
Mahabubabad,751,Telangana,36,2016_c,
Mahabubnagar,538,Telangana,36,2016_c,
Mancherial,735,Telangana,36,2016_c,
Medak,535,Telangana,36,2016_c,
Medchal Malkajgiri,742,Telangana,36,2016_c,
Nagarkurnool,746,Telangana,36,2016_c,
Nalgonda,539,Telangana,36,2016_c,
Nirmal,734,Telangana,36,2016_c,
Nizamabad,533,Telangana,36,2016_c,
Peddapalli,738,Telangana,36,2016_c,
Rajanna Sircilla,739,Telangana,36,2016_c,
Ranga Reddy,537,Telangana,36,2016_c,
Sangareddy,740,Telangana,36,2016_c,
Siddipet,741,Telangana,36,2016_c,
Suryapet,748,Telangana,36,2016_c,
Vikarabad,743,Telangana,36,2016_c,
Wanaparthy,745,Telangana,36,2016_c,
Warangal Rural,749,Telangana,36,2016_c,
Warangal Urban,540,Telangana,36,2016_c,
Yadadri Bhuvanagiri,747,Telangana,36,2016_c,
South 24 Parganas,343,West Bengal,19,2011_c,
Amreli,480,Gujarat,24,2011_c,
Angul,384,Odisha,21,2011_c,
Dang,489,Gujarat,24,2011_c,
Dhamtari,412,Chhattisgarh,22,2011_c,
Kendrapara,379,Odisha,21,2011_c,
Dadra and Nagar Haveli,496,Dadra and Nagar Haveli and Daman and Diu,26,2011_c,
Palghar,732,Maharashtra,27,update2014,
Ganjam,388,Odisha,21,2011_c,
Gajapati,389,Odisha,21,2011_c,
Y.S.R. Kadapa,551,Andhra Pradesh,37,2011_c,
Tumakuru,571,Karnataka,29,2011_c,
Chittoor,554,Andhra Pradesh,37,2011_c,
Ramanagara,584,Karnataka,29,2011_c,
Mandya,573,Karnataka,29,2011_c,
Mysuru,577,Karnataka,29,2011_c,
Kannur,589,Kerala,32,2011_c,
Puducherry,635,Puducherry,34,2011_c,
Balod,719,Chhattisgarh,22,update2014,
Bhadradri Kothagudem,753,Telangana,36,2016_c,
Vadodara,486,Gujarat,24,2011_c,
Paschim Medinipur,344,West Bengal,19,2011_c,
Seoni,456,Madhya Pradesh,23,2011_c,
Alirajpur,465,Madhya Pradesh,23,2011_c,
Chhindwara,455,Madhya Pradesh,23,2011_c,
Harda,448,Madhya Pradesh,23,2011_c,
Khargone,440,Madhya Pradesh,23,2011_c,
Purba Medinipur,345,West Bengal,19,2011_c,
Mayurbhanj,376,Odisha,21,2011_c,
Bharuch,488,Gujarat,24,2011_c,
Sundargarh,374,Odisha,21,2011_c,
Kabeerdham,407,Chhattisgarh,22,2011_c,
Khandwa,466,Madhya Pradesh,23,2011_c,
Porbandar,478,Gujarat,24,2011_c,
Balaghat,457,Madhya Pradesh,23,2011_c,
Narmada,487,Gujarat,24,2011_c,
Barwani,441,Madhya Pradesh,23,2011_c,
Janjgir Champa,405,Chhattisgarh,22,2011_c,
Nandurbar,497,Maharashtra,27,2011_c,
Kendujhar,375,Odisha,21,2011_c,
Balasore,377,Odisha,21,2011_c,
Jharsuguda,371,Odisha,21,2011_c,
Bametara,718,Chhattisgarh,22,update2014,
Rajnandgaon,408,Chhattisgarh,22,2011_c,
Amravati,503,Maharashtra,27,2011_c,
Surat,492,Gujarat,24,2011_c,
Dhule,498,Maharashtra,27,2011_c,
Tapi,493,Gujarat,24,2011_c,
Bargarh,370,Odisha,21,2011_c,
Nagpur,505,Maharashtra,27,2011_c,
Baloda Bazar,721,Chhattisgarh,22,update2014,
Mungeli,717,Chhattisgarh,22,update2014,
Botad,726,Gujarat,24,update2014,
Chhota Udaipur,731,Gujarat,24,update2014,
Gir Somnath,729,Gujarat,24,update2014,
Jhargram,776,West Bengal,19,2017_c,
Rajkot,476,Gujarat,24,2011_c,
Bhavnagar,481,Gujarat,24,2011_c,
Betul,447,Madhya Pradesh,23,2011_c,
Junagadh,479,Gujarat,24,2011_c,
Deogarh,373,Odisha,21,2011_c,
Jamnagar,477,Gujarat,24,2011_c,
Devbhumi Dwarka,728,Gujarat,24,update2014,
Aurangabad,515,Maharashtra,27,2011_c,
Vijayapura,557,Karnataka,29,2011_c,
Bijapur,417,Chhattisgarh,22,2011_c,
Raigad,520,Maharashtra,27,2011_c,
Raigarh,403,Chhattisgarh,22,2011_c,
Bilaspur,406,Chhattisgarh,22,2011_c,
Karaikal,637,Puducherry,34,2011_c,
Mahe,636,Puducherry,34,2011_c,
Yanam,634,Puducherry,34,2011_c,
Sambalpur,372,Odisha,21,2011_c,
Navsari,490,Gujarat,24,2011_c,
Lakshadweep,587,Lakshadweep,31,2011_c,
Daman,495,Dadra and Nagar Haveli and Daman and Diu,26,2011_c,
Diu,494,Dadra and Nagar Haveli and Daman and Diu,26,2011_c,
Mumbai Suburban,518,Maharashtra,27,2011_c,
Jayashankar Bhupalapally,750,Telangana,36,2016_c,
Narayanpet,781,Telangana,36,2019,
Sukma,723,Chhattisgarh,22,update2014,
Upper Subansiri,249,Arunachal Pradesh,12,2011_c,
Anjaw,260,Arunachal Pradesh,12,2011_c,
Tinsukia,309,Assam,18,2011_c,
Dhemaji,308,Assam,18,2011_c,
Changlang,253,Arunachal Pradesh,12,2011_c,
Dibrugarh,310,Assam,18,2011_c,
Tawang,245,Arunachal Pradesh,12,2011_c,
Papum Pare,248,Arunachal Pradesh,12,2011_c,
Lakhimpur,307,Assam,18,2011_c,
Tirap,254,Arunachal Pradesh,12,2011_c,
Sivasagar,311,Assam,18,2011_c,
Jorhat,312,Assam,18,2011_c,
Mon,261,Nagaland,13,2011_c,
Sonitpur,306,Assam,18,2011_c,
Golaghat,313,Assam,18,2011_c,
Longleng,268,Nagaland,13,2011_c,
Mokokchung,262,Nagaland,13,2011_c,
Udalguri,326,Assam,18,2011_c,
Chirang,320,Assam,18,2011_c,
Baksa,324,Assam,18,2011_c,
Nagaon,305,Assam,18,2011_c,
Kokrajhar,300,Assam,18,2011_c,
Darrang,325,Assam,18,2011_c,
Tuensang,267,Nagaland,13,2011_c,
Barpeta,303,Assam,18,2011_c,
Nalbari,323,Assam,18,2011_c,
Morigaon,304,Assam,18,2011_c,
Kamrup,321,Assam,18,2011_c,
Bongaigaon,319,Assam,18,2011_c,
Dhubri,301,Assam,18,2011_c,
Kamrup Metropolitan,322,Assam,18,2011_c,
Kiphire,269,Nagaland,13,2011_c,
Goalpara,302,Assam,18,2011_c,
Ribhoi,297,Meghalaya,17,2011_c,
Dima Hasao,315,Assam,18,2011_c,
Kamjong,770,Manipur,14,2016_c,
West Khasi Hills,296,Meghalaya,17,2011_c,
Peren,271,Nagaland,13,2011_c,
Senapati,272,Manipur,14,2011_c,
East Jaintia Hills,714,Meghalaya,17,update2014,
East Khasi Hills,298,Meghalaya,17,2011_c,
Tamenglong,273,Manipur,14,2011_c,
South Garo Hills,295,Meghalaya,17,2011_c,
Cachar,316,Assam,18,2011_c,
Imphal West,277,Manipur,14,2011_c,
Karimganj,317,Assam,18,2011_c,
Hailakandi,318,Assam,18,2011_c,
Kakching,768,Manipur,14,2016_c,
Bishnupur,275,Manipur,14,2011_c,
Chandel,280,Manipur,14,2011_c,
Churachandpur,274,Manipur,14,2011_c,
North Tripura,292,Tripura,16,2011_c,
Dhalai,291,Tripura,16,2011_c,
Sipahijala,707,Tripura,16,update2014,
Gomati,709,Tripura,16,update2014,
Wokha,264,Nagaland,13,2011_c,
Zunheboto,263,Nagaland,13,2011_c,
Phek,266,Nagaland,13,2011_c,
West Garo Hills,293,Meghalaya,17,2011_c,
East Garo Hills,294,Meghalaya,17,2011_c,
Kohima,270,Nagaland,13,2011_c,
Dimapur,265,Nagaland,13,2011_c,
East Siang,251,Arunachal Pradesh,12,2011_c,
Lohit,259,Arunachal Pradesh,12,2011_c,
Kurung Kumey,256,Arunachal Pradesh,12,2011_c,
Lower Subansiri,255,Arunachal Pradesh,12,2011_c,
East Kameng,247,Arunachal Pradesh,12,2011_c,
West Kameng,246,Arunachal Pradesh,12,2011_c,
West Jaintia Hills,299,Meghalaya,17,2011_c,
South West Khasi Hills,713,Meghalaya,17,update2014,
North Garo Hills,712,Meghalaya,17,update2014,
South West Garo Hills,711,Meghalaya,17,update2014,
Khowai,708,Tripura,16,update2014,
West Tripura,289,Tripura,16,2011_c,
South Tripura,290,Tripura,16,2011_c,
Unokoti,710,Tripura,16,update2014,
Charaideo,755,Assam,18,2015_c,
Majuli,760,Assam,18,2016_c,
Biswanath,756,Assam,18,2015_c,
Hojai,757,Assam,18,2015_c,
South Salmara Mankachar,758,Assam,18,2015_c,
Karbi Anglong,314,Assam,18,2011_c,
West Karbi Anglong,759,Assam,18,2016_c,
Kra Daadi,763,Arunachal Pradesh,12,2015_c,
Namsai,762,Arunachal Pradesh,12,2014_c,
Longding,761,Arunachal Pradesh,12,2012_c,
Imphal East,278,Manipur,14,2011_c,
Jiribam,766,Manipur,14,2016_c,
Kangpokpi,767,Manipur,14,2016_c,
Thoubal,276,Manipur,14,2011_c,
Tengnoupal,769,Manipur,14,2016_c,
Ukhrul,279,Manipur,14,2011_c,
Noney,771,Manipur,14,2016_c,
Pherzawl,772,Manipur,14,2016_c,
Upper Siang,252,Arunachal Pradesh,12,2011_c,
Lower Siang,779,Arunachal Pradesh,12,2018,
Upper Dibang Valley,257,Arunachal Pradesh,12,2011_c,
